Executing Case 1: Running Model Training with all context and all criteria
MLR - RMSE: 0.9658, MAE: 0.7841, Time: 17.02s, CPU: 0.00%, Memory: 12.34MB
MultiHeadAttentionModel - RMSE: 0.8493, MAE: 0.6223, Time: 14.84s, CPU: -0.40%, Memory: 11.56MB
==============================================================================================

Executing Case 11: Running Prediction with single criteria: GroupApp, with single context: Semester
AFM - RMSE: 1.0645, MAE: 0.8786, Time: 34.32s, CPU: 0.00%, Memory: 2192.74MB
AutoInt - RMSE: 0.8179, MAE: 0.6340, Time: 19.66s, CPU: -0.10%, Memory: 1.37MB
CCPM - RMSE: 1.2205, MAE: 0.9661, Time: 18.58s, CPU: 0.10%, Memory: 603.38MB
DCN - RMSE: 0.8120, MAE: 0.6276, Time: 12.79s, CPU: 0.00%, Memory: 0.13MB
DeepFM - RMSE: 0.8154, MAE: 0.6327, Time: 11.21s, CPU: 0.10%, Memory: 0.00MB
DIFM - RMSE: 1.3313, MAE: 1.0206, Time: 13.10s, CPU: 0.10%, Memory: 0.00MB
FiBiNET - RMSE: 0.8928, MAE: 0.6778, Time: 20.91s, CPU: -0.10%, Memory: 0.00MB
NFM - RMSE: 0.8380, MAE: 0.6522, Time: 10.92s, CPU: 0.10%, Memory: 0.00MB
ONN - RMSE: 1.0916, MAE: 0.8141, Time: 29.90s, CPU: -0.10%, Memory: 0.53MB
PNN - RMSE: 0.8523, MAE: 0.6466, Time: 10.05s, CPU: -0.20%, Memory: 0.00MB
WDL - RMSE: 0.8140, MAE: 0.6311, Time: 11.78s, CPU: 0.10%, Memory: 0.00MB
xDeepFM - RMSE: 0.8092, MAE: 0.6245, Time: 16.53s, CPU: -0.10%, Memory: 34.93MB
IFM - RMSE: 1.1933, MAE: 0.9440, Time: 11.03s, CPU: 0.00%, Memory: 0.00MB
MLR - RMSE: 0.8963, MAE: 0.7290, Time: 20.89s, CPU: 0.00%, Memory: 0.31MB
MultiHeadAttentionModel - RMSE: 0.8039, MAE: 0.5800, Time: 15.78s, CPU: 0.00%, Memory: 0.00MB
==============================================================================================

Executing Case 12: Running Prediction with single criteria: GroupData, with single context: Semester
AFM - RMSE: 1.0811, MAE: 0.8881, Time: 27.16s, CPU: 0.20%, Memory: 2188.09MB
AutoInt - RMSE: 0.8496, MAE: 0.6581, Time: 13.79s, CPU: 0.10%, Memory: 0.30MB
CCPM - RMSE: 1.2226, MAE: 0.9675, Time: 18.86s, CPU: 0.00%, Memory: 607.34MB
DCN - RMSE: 0.8419, MAE: 0.6495, Time: 13.05s, CPU: 0.10%, Memory: 0.73MB
DeepFM - RMSE: 0.8470, MAE: 0.6569, Time: 11.15s, CPU: 0.20%, Memory: 0.00MB
DIFM - RMSE: 1.3467, MAE: 1.0316, Time: 13.66s, CPU: -0.10%, Memory: 0.00MB
FiBiNET - RMSE: 0.9337, MAE: 0.7066, Time: 21.23s, CPU: 0.30%, Memory: 0.00MB
NFM - RMSE: 0.8669, MAE: 0.6730, Time: 11.48s, CPU: 0.00%, Memory: 0.00MB
ONN - RMSE: 1.1300, MAE: 0.8506, Time: 22.28s, CPU: 0.00%, Memory: 0.53MB
PNN - RMSE: 0.8940, MAE: 0.6843, Time: 9.70s, CPU: -0.10%, Memory: 0.00MB
WDL - RMSE: 0.8453, MAE: 0.6548, Time: 10.74s, CPU: -0.40%, Memory: 0.00MB
xDeepFM - RMSE: 0.8399, MAE: 0.6494, Time: 12.46s, CPU: 0.00%, Memory: 36.12MB
